time,open,high,low,close,volume
2023-08-24 08:30:00,1669.58,1669.70,1669.32,1669.33,797.800
2023-08-24 08:31:00,1669.32,1669.33,1669.32,1669.33,95.121
2023-08-24 08:32:00,1669.33,1669.33,1669.32,1669.32,141.426
2023-08-24 08:33:00,1669.32,1669.33,1669.32,1669.32,162.053
2023-08-24 08:34:00,1669.33,1669.60,1669.32,1669.59,282.296
2023-08-24 08:35:00,1669.60,1669.64,1669.47,1669.61,485.913
2023-08-24 08:36:00,1669.61,1669.79,1669.60,1669.67,426.124
2023-08-24 08:37:00,1669.67,1670.00,1669.67,1669.99,640.748
2023-08-24 08:38:00,1669.99,1670.72,1669.87,1670.00,2494.820
2023-08-24 08:39:00,1669.99,1670.47,1669.99,1670.47,625.725
2023-08-24 08:40:00,1670.46,1670.47,1670.07,1670.27,835.533
2023-08-24 08:41:00,1670.27,1671.40,1670.26,1671.27,2263.573
2023-08-24 08:42:00,1671.26,1671.32,1671.02,1671.14,857.736
2023-08-24 08:43:00,1671.12,1671.13,1670.84,1670.93,648.808
2023-08-24 08:44:00,1670.93,1671.51,1670.93,1671.36,818.897
2023-08-24 08:45:00,1671.35,1671.96,1671.35,1671.81,960.320
2023-08-24 08:46:00,1671.80,1672.78,1671.03,1671.40,3838.976
2023-08-24 08:47:00,1671.40,1671.51,1671.40,1671.50,635.538
2023-08-24 08:48:00,1671.50,1671.58,1671.50,1671.57,273.908
2023-08-24 08:49:00,1671.57,1672.86,1671.57,1672.86,1253.881
2023-08-24 08:50:00,1672.86,1672.86,1672.23,1672.39,1128.902
2023-08-24 08:51:00,1672.38,1672.59,1672.38,1672.44,508.218
2023-08-24 08:52:00,1672.44,1672.45,1671.18,1671.18,1044.676
2023-08-24 08:53:00,1671.18,1672.39,1671.01,1672.21,1581.053
2023-08-24 08:54:00,1672.21,1672.22,1671.70,1671.71,481.683
2023-08-24 08:55:00,1671.70,1671.70,1671.30,1671.68,648.004
2023-08-24 08:56:00,1671.68,1671.68,1671.31,1671.60,265.583
2023-08-24 08:57:00,1671.60,1671.68,1671.40,1671.40,278.362
2023-08-24 08:58:00,1671.40,1671.64,1671.40,1671.63,99.604
2023-08-24 08:59:00,1671.64,1671.96,1671.63,1671.95,451.446
2023-08-24 09:00:00,1671.95,1671.96,1671.64,1671.71,580.974
2023-08-24 09:01:00,1671.72,1672.98,1671.72,1672.80,1010.656
2023-08-24 09:02:00,1672.79,1672.91,1672.15,1672.29,346.688
2023-08-24 09:03:00,1672.29,1672.30,1672.29,1672.30,110.066
2023-08-24 09:04:00,1672.30,1672.46,1672.29,1672.46,229.955
2023-08-24 09:05:00,1672.45,1672.54,1672.12,1672.37,327.856
2023-08-24 09:06:00,1672.36,1672.37,1672.30,1672.31,141.697
2023-08-24 09:07:00,1672.30,1672.31,1672.25,1672.25,104.434
2023-08-24 09:08:00,1672.25,1672.26,1672.08,1672.08,235.472
2023-08-24 09:09:00,1672.08,1672.33,1672.08,1672.33,317.509
2023-08-24 09:10:00,1672.32,1672.33,1672.32,1672.32,128.512
2023-08-24 09:11:00,1672.32,1672.33,1671.78,1671.78,292.112
2023-08-24 09:12:00,1671.78,1671.79,1671.51,1671.51,532.181
2023-08-24 09:13:00,1671.51,1671.52,1671.29,1671.29,330.824
2023-08-24 09:14:00,1671.29,1671.30,1670.88,1671.19,948.653
2023-08-24 09:15:00,1671.19,1671.19,1670.59,1670.60,1104.007
2023-08-24 09:16:00,1670.59,1670.97,1670.03,1670.58,2878.171
2023-08-24 09:17:00,1670.58,1670.94,1670.58,1670.93,398.711
2023-08-24 09:18:00,1670.93,1670.93,1670.31,1670.69,808.014
2023-08-24 09:19:00,1670.70,1670.73,1670.69,1670.73,286.109
2023-08-24 09:20:00,1670.73,1670.73,1670.30,1670.30,714.762
2023-08-24 09:21:00,1670.30,1670.31,1669.46,1669.47,2126.221
2023-08-24 09:22:00,1669.47,1669.48,1668.70,1668.70,1396.167
2023-08-24 09:23:00,1668.71,1668.71,1668.41,1668.58,1274.049
2023-08-24 09:24:00,1668.57,1668.58,1668.37,1668.58,753.579
2023-08-24 09:25:00,1668.57,1669.03,1668.25,1668.57,801.289
2023-08-24 09:26:00,1668.57,1668.66,1668.22,1668.51,847.566
2023-08-24 09:27:00,1668.51,1668.51,1667.84,1668.19,765.695
2023-08-24 09:28:00,1668.19,1668.20,1667.25,1667.40,1664.239
2023-08-24 09:29:00,1667.39,1667.40,1666.65,1666.80,1289.391
2023-08-24 09:30:00,1666.79,1666.80,1666.01,1666.02,2899.702
2023-08-24 09:31:00,1666.02,1666.02,1665.70,1665.71,1342.541
2023-08-24 09:32:00,1665.71,1666.20,1665.70,1665.70,1267.341
2023-08-24 09:33:00,1665.71,1666.60,1665.70,1666.27,857.643
2023-08-24 09:34:00,1666.28,1666.28,1665.48,1665.49,1617.102
2023-08-24 09:35:00,1665.49,1666.10,1665.24,1665.38,1767.249
2023-08-24 09:36:00,1665.39,1665.39,1663.95,1664.79,7622.899
2023-08-24 09:37:00,1664.78,1665.00,1664.00,1664.34,1431.758
2023-08-24 09:38:00,1664.33,1665.10,1664.01,1664.95,1506.535
2023-08-24 09:39:00,1664.97,1665.85,1664.97,1665.58,1241.799
2023-08-24 09:40:00,1665.57,1667.05,1665.44,1665.66,1608.211
2023-08-24 09:41:00,1665.66,1665.66,1664.85,1665.17,797.554
2023-08-24 09:42:00,1665.16,1665.16,1664.02,1664.26,948.613
2023-08-24 09:43:00,1664.25,1665.43,1664.10,1665.03,1275.106
2023-08-24 09:44:00,1665.04,1665.35,1664.73,1665.05,699.006
