,price,quantity,total
560,0.803,3752.6,1716566.100000001
561,0.8029,95.8,1716661.900000001
562,0.8028,271.7,1716933.600000001
563,0.8027,619.9,1717553.500000001
564,0.8026,407.3,1717960.800000001
565,0.8025,761.3,1718722.100000001
566,0.8024,192.8,1718914.900000001
567,0.8023,305.6,1719220.5000000012
568,0.8022,171.3,1719391.8000000012
569,0.8021,168.1,1719559.9000000013
570,0.802,1061.3,1720621.2000000014
571,0.8019,173.4,1720794.6000000013
572,0.8018,25.5,1720820.1000000013
573,0.8017,187.7,1721007.8000000012
574,0.8016,423.9,1721431.7000000011
575,0.8015,7950.6,1729382.3000000012
576,0.8014,12604.9,1741987.2000000011
577,0.8013,79.7,1742066.900000001
578,0.8012,18766.1,1760833.0000000012
579,0.8011,208.1,1761041.1000000013
580,0.801,4607.9,1765649.0000000012
581,0.8009,561.5,1766210.5000000012
582,0.8008,230.0,1766440.5000000012
583,0.8007,207.9,1766648.400000001
584,0.8006,33.1,1766681.5000000012
585,0.8005,1611.1,1768292.6000000013
586,0.8004,82.7,1768375.3000000012
587,0.8003,1841.7,1770217.0000000012
588,0.8002,158.8,1770375.8000000012
589,0.8001,100577.5,1870953.3000000012
590,0.8,288205.8,2159159.100000001
591,0.7999,1702.0,2160861.100000001
592,0.7998,154.3,2161015.400000001
593,0.7997,911.2,2161926.600000001
594,0.7996,69.5,2161996.100000001
595,0.7995,12.6,2162008.700000001
596,0.7994,101.5,2162110.200000001
597,0.7993,261.5,2162371.700000001
598,0.7992,47.6,2162419.300000001
599,0.7991,107.8,2162527.100000001
600,0.799,73.0,2162600.100000001
601,0.7989,198.2,2162798.300000001
602,0.7988,80.6,2162878.9000000013
603,0.7987,31.2,2162910.1000000015
604,0.7986,613.9,2163524.0000000014
605,0.7985,4513.4,2168037.4000000013
606,0.7984,35.3,2168072.700000001
607,0.7983,173.5,2168246.200000001
608,0.7982,160.9,2168407.100000001
609,0.7981,393.5,2168800.600000001
610,0.798,1990.9,2170791.500000001
611,0.7979,83.4,2170874.900000001
612,0.7978,46.8,2170921.7000000007
613,0.7977,354.9,2171276.6000000006
614,0.7976,555.0,2171831.6000000006
615,0.7975,456.3,2172287.9000000004
616,0.7974,1396.7,2173684.6000000006
617,0.7973,411.8,2174096.4000000004
618,0.7972,87.2,2174183.6000000006
619,0.7971,1081.4,2175265.0000000005
620,0.797,525.1,2175790.1000000006
621,0.7969,221.1,2176011.2000000007
622,0.7968,13.4,2176024.6000000006
623,0.7967,64.9,2176089.5000000005
624,0.7966,89.6,2176179.1000000006
625,0.7965,148.4,2176327.5000000005
626,0.7964,131.9,2176459.4000000004
627,0.7963,25.1,2176484.5000000005
628,0.7962,25.1,2176509.6000000006
629,0.7961,111.5,2176621.1000000006
630,0.796,12271.4,2188892.5000000005
631,0.7959,215.5,2189108.0000000005
632,0.7958,159.6,2189267.6000000006
633,0.7957,57.8,2189325.4000000004
634,0.7956,490.0,2189815.4000000004
635,0.7955,2585.4,2192400.8000000003
636,0.7954,34.6,2192435.4000000004
637,0.7953,43.8,2192479.2
638,0.7952,1947.9,2194427.1
639,0.7951,132.8,2194559.9
640,0.795,3836.7,2198396.6
641,0.7949,101.1,2198497.7
642,0.7948,316.3,2198814.0
643,0.7947,72.1,2198886.1
644,0.7946,1006.8,2199892.9
645,0.7945,3449.2,2203342.1
646,0.7944,1569.8,2204911.9
647,0.7943,56.1,2204968.0
648,0.7942,142.9,2205110.9
649,0.7941,79.2,2205190.1
650,0.794,238.8,2205428.9
651,0.7939,510.6,2205939.5
652,0.7938,18.7,2205958.2
653,0.7937,214.0,2206172.2
654,0.7936,273.3,2206445.5
655,0.7935,241.7,2206687.2
656,0.7934,90.1,2206777.3000000003
657,0.7933,404.4,2207181.7
658,0.7932,147.7,2207329.4000000004
659,0.7931,410.6,2207740.0000000005
660,0.793,453.9,2208193.9000000004
661,0.7929,8.0,2208201.9000000004
662,0.7928,445.6,2208647.5000000005
663,0.7927,365.0,2209012.5000000005
664,0.7926,120.7,2209133.2000000007
665,0.7925,79.0,2209212.2000000007
666,0.7924,176.4,2209388.6000000006
667,0.7923,540.8,2209929.4000000004
668,0.7922,3013.0,2212942.4000000004
669,0.7921,113.1,2213055.5000000005
670,0.792,2098.6,2215154.1000000006
671,0.7919,311.8,2215465.9000000004
672,0.7918,106.3,2215572.2
673,0.7917,68.5,2215640.7
674,0.7916,106.4,2215747.1
675,0.7915,82.0,2215829.1
676,0.7914,184.0,2216013.1
677,0.7913,137.9,2216151.0
678,0.7912,496.5,2216647.5
679,0.7911,99.8,2216747.3
680,0.791,105.6,2216852.9
681,0.7909,2461.9,2219314.8
682,0.7908,116.1,2219430.9
683,0.7907,153.3,2219584.1999999997
684,0.7906,144.1,2219728.3
685,0.7905,38.7,2219767.0
686,0.7904,7.2,2219774.2
687,0.7903,134.4,2219908.6
688,0.7902,9771.7,2229680.3000000003
689,0.7901,463.5,2230143.8000000003
690,0.79,84827.2,2314971.0000000005
691,0.7899,459.3,2315430.3000000003
692,0.7898,1177.0,2316607.3000000003
693,0.7897,254.9,2316862.2
694,0.7896,140.3,2317002.5
695,0.7895,141.4,2317143.9
696,0.7894,112.7,2317256.6
697,0.7893,718.1,2317974.7
698,0.7892,336.2,2318310.9000000004
699,0.7891,65.8,2318376.7
700,0.789,3636.5,2322013.2
701,0.7889,139.9,2322153.1
702,0.7888,2162.6,2324315.7
703,0.7887,18.6,2324334.3000000003
704,0.7886,3281.8,2327616.1
705,0.7885,234.0,2327850.1
706,0.7884,665.8,2328515.9
707,0.7883,58.4,2328574.3
708,0.7882,108.8,2328683.0999999996
709,0.7881,358.8,2329041.8999999994
710,0.788,238.7,2329280.5999999996
711,0.7879,74.3,2329354.8999999994
