time,xrp_close,theta_close
2022-06-17 23:30:00,0.3195,1.25
2022-06-18 0:30:00,0.3197,1.228
2022-06-18 1:30:00,0.3205,1.246
2022-06-18 2:30:00,0.3195,1.229
2022-06-18 3:30:00,0.3105,1.163
2022-06-18 4:30:00,0.3086,1.13
2022-06-18 5:30:00,0.3029,1.118
2022-06-18 6:30:00,0.306,1.136
2022-06-18 7:30:00,0.3081,1.15
2022-06-18 8:30:00,0.3054,1.144
2022-06-18 9:30:00,0.3061,1.137
2022-06-18 10:30:00,0.3086,1.151
2022-06-18 11:30:00,0.3044,1.143
2022-06-18 12:30:00,0.3053,1.132
2022-06-18 13:30:00,0.3044,1.145
2022-06-18 14:30:00,0.3032,1.135
2022-06-18 15:30:00,0.2993,1.13
2022-06-18 16:30:00,0.2952,1.084
2022-06-18 17:30:00,0.295,1.076
2022-06-18 18:30:00,0.3051,1.125
2022-06-18 19:30:00,0.3099,1.159
2022-06-18 20:30:00,0.3072,1.157
2022-06-18 21:30:00,0.3053,1.157
2022-06-18 22:30:00,0.3032,1.131
2022-06-18 23:30:00,0.3029,1.121
2022-06-19 0:30:00,0.3008,1.125
2022-06-19 1:30:00,0.3033,1.137
2022-06-19 2:30:00,0.301,1.12
2022-06-19 3:30:00,0.3025,1.125
2022-06-19 4:30:00,0.303,1.131
2022-06-19 5:30:00,0.3074,1.14
2022-06-19 6:30:00,0.3073,1.147
2022-06-19 7:30:00,0.3156,1.186
2022-06-19 8:30:00,0.3131,1.176
2022-06-19 9:30:00,0.3122,1.163
2022-06-19 10:30:00,0.3108,1.155
