,VCSH,HYG,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,symbol_one_position,symbol_two_position,portfolio_value,returns
134,74.666,72.133,-42.43831003949393,-42.587080579468946,0.24592167319206903,0.6049509099542681,0,0.0,0.0,10261.782541956183,0.0
135,74.715,71.909,-42.737498133029604,-42.60791819817608,0.25506230761345294,-0.5080324727944613,0,0.0,0.0,10261.782541956183,0.0
136,74.858,72.339,-42.526924610082716,-42.53126085859295,0.191065578772561,0.022695079553793927,0,0.0,0.0,10261.782541956183,0.0
137,74.68,72.71,-41.88279235193271,-42.37029662883213,0.32114718614643606,1.5180088692327223,-1,108.28085090721402,-70.56651452314802,10261.782541956183,0.0
138,74.641,72.651,-41.881948767281855,-42.29349478036416,0.390719377386314,1.0533033089766681,-1,108.28085090721402,-70.56651452314802,10261.723013127666,-5.8010390434720365e-06
139,74.611,72.768,-41.718915240627354,-42.14961582059085,0.45174963761487585,0.9534054797198948,-1,108.28085090721402,-70.56651452314802,10250.218305401242,-0.0011217572002737157
140,74.458,72.369,-41.8831442546894,-41.97874504492281,0.3145347010304811,0.30394353920315975,-1,108.28085090721402,-70.56651452314802,10261.807374507174,0.0011299781425693689
141,74.631,72.827,-41.690604258397,-41.81148097458566,0.09793651474476071,1.2342354279574541,-1,108.28085090721402,-70.56651452314802,10248.220498062521,-0.0013249010207651212
142,74.444,72.846,-41.38466194225063,-41.71185489264925,0.20361031192923754,1.6069566776771642,-1,108.28085090721402,-70.56651452314802,10226.631215166932,-0.002108859316698694
143,74.552,72.768,-41.62838263820683,-41.66114166683424,0.18097318254857467,0.18101592825012852,-1,108.28085090721402,-70.56651452314802,10243.829735197716,0.001680326018954646
144,74.434,72.856,-41.3593174333658,-41.589222105381936,0.2196036979934349,1.0469071063776252,-1,108.28085090721402,-70.56651452314802,10224.842741512628,-0.0018552252621731407
145,74.424,72.885,-41.31497292448097,-41.47558783934024,0.17114452077611472,0.9384753548107116,-1,108.28085090721402,-70.56651452314802,10221.713504082385,-0.0003060894379559761
146,74.69,73.236,-41.37213686081752,-41.41189435982435,0.12384217354748309,0.32103360162350875,-1,108.28085090721402,-70.56651452314802,10225.747363826078,0.0003945585050469237
147,74.582,73.051,-41.39141616486131,-41.413245204346495,0.12350725059007613,0.1767429797108399,-1,108.28085090721402,-70.56651452314802,10227.10783711488,0.00013303504840206086
148,74.67,72.856,-41.72144784304787,-41.43185824531469,0.16430816198331152,-1.762478468736016,1,0.0,0.0,10000.0,-0.022456733128876395
149,74.651,72.671,-41.877293276166654,-41.53545341387486,0.2487363518588285,-1.3743060060871393,1,0.0,0.0,10000.0,0.0
150,74.562,72.456,-41.95572714709165,-41.663604258397,0.2708247869075404,-1.0786416266779162,1,0.0,0.0,10000.0,0.0
