,VCSH,HYG,rolling_hedge_ratio,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,symbol_one_position,symbol_two_position,portfolio_value,current_hedge_ratio,returns
183,78.181,77.575,1.7865740587875465,-62.101146490069155,-92.96374620474641,28.040746448473318,1.1006340281058238,0,0.0,0.0,100972.25810611338,1.0,0.0
184,78.152,77.397,1.7143932757183884,-56.586263283943495,-93.83738891261137,26.382819023286896,1.4119463729705317,0,0.0,0.0,100972.25810611338,1.0,0.0
185,78.209,77.521,1.599258001478842,-47.555369037658764,-94.14157108589357,25.76739533393115,1.807951538931408,0,0.0,0.0,100972.25810611338,1.0,0.0
186,78.209,77.655,1.423232326062974,-33.65457698905914,-93.73648995965523,26.63438613543546,2.2558024301773076,-1,918.7368574728914,-645.5283797652021,100972.25810611338,1.423232326062974,0.0
187,78.247,77.824,1.1310168009426698,-10.674671623361078,-92.39405161647346,29.703509923215154,2.7511691448034417,-1,918.7368574728914,-645.5283797652021,101046.44040170973,1.423232326062974,0.0007344102251774036
188,78.285,77.85,1.0379544412742836,-3.4062634351572996,-90.58382555001809,33.32411535099288,2.616050304611113,-1,918.7368574728914,-645.5283797652021,101028.31213899967,1.423232326062974,-0.00017942135304644036
189,78.257,77.672,0.9374500310609284,4.309972919264922,-88.19776015916136,37.36815686076358,2.4755765563476064,-1,918.7368574728914,-645.5283797652021,100939.13271941067,1.423232326062974,-0.000883106932874991
190,78.257,77.494,0.8649015893713257,9.809396320568169,-85.28909959576208,41.41092788183382,2.2964589488961473,-1,918.7368574728914,-645.5283797652021,100824.22866781248,1.423232326062974,-0.0011389983119870458
191,78.247,77.486,0.8411325973297898,11.669897656735941,-82.10755218982649,45.03874785458838,2.0821504662902997,-1,918.7368574728914,-645.5283797652021,100828.2518093491,1.423232326062974,3.9901731212354707e-05
192,78.219,77.672,0.8168473221478166,13.779019308919935,-78.62928063968047,48.2757383892808,1.9141768315058827,-1,918.7368574728914,-645.5283797652021,100974.04471999465,1.423232326062974,0.0014449085914086488
